locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMUR_00439	CDS	507				hypothetical protein
PMUR_00440	CDS	1641				hypothetical protein
PMUR_00441	CDS	2577	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
PMUR_00442	CDS	1095	resA_3			Thiol-disulfide oxidoreductase ResA
PMUR_00443	CDS	939	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
PMUR_00444	CDS	594				hypothetical protein
PMUR_00445	CDS	201				hypothetical protein
PMUR_00446	CDS	1155	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
PMUR_00447	tRNA	74				tRNA-Gly(gcc)
PMUR_00448	tRNA	83				tRNA-Leu(cag)
PMUR_00449	tRNA	87				tRNA-Leu(gag)
PMUR_00450	tRNA	74				tRNA-Gly(gcc)
PMUR_00451	CDS	543				hypothetical protein
PMUR_00452	CDS	435	ssb		COG0629	Single-stranded DNA-binding protein
PMUR_00453	CDS	1347				hypothetical protein
PMUR_00454	CDS	732	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
PMUR_00455	CDS	918				hypothetical protein
PMUR_00456	CDS	465				hypothetical protein
PMUR_00457	CDS	954	qmcA		COG0330	Protein QmcA
PMUR_00458	CDS	750	btsR		COG3279	Transcriptional regulatory protein BtsR
PMUR_00459	CDS	2025				hypothetical protein
PMUR_00460	CDS	114				hypothetical protein
PMUR_00461	CDS	888	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
PMUR_00462	tRNA	75				tRNA-Arg(acg)
PMUR_00463	tRNA	75				tRNA-Arg(acg)
PMUR_00464	CDS	1041	ansA	3.5.1.1	COG0252	L-asparaginase 1
PMUR_00465	CDS	1401	uxaC	5.3.1.12	COG1904	Uronate isomerase
PMUR_00466	CDS	807				hypothetical protein
PMUR_00467	CDS	1845	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
PMUR_00468	CDS	1896	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
PMUR_00469	CDS	1077	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
PMUR_00470	CDS	3228	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
PMUR_00471	CDS	888	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
PMUR_00472	CDS	1671	glgE	2.4.99.16		Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
PMUR_00473	CDS	471				hypothetical protein
PMUR_00474	CDS	1575	rne	3.1.26.12	COG1530	Ribonuclease E
PMUR_00475	CDS	90				hypothetical protein
PMUR_00476	CDS	276			COG0776	DNA-binding protein HU
PMUR_00477	CDS	1437	pyk	2.7.1.40	COG0469	Pyruvate kinase
PMUR_00478	tRNA	75				tRNA-His(gtg)
PMUR_00479	CDS	411				hypothetical protein
PMUR_00480	CDS	756				hypothetical protein
PMUR_00481	CDS	618				hypothetical protein
PMUR_00482	CDS	1281	norR			Anaerobic nitric oxide reductase transcription regulator NorR
PMUR_00483	CDS	1026				hypothetical protein
PMUR_00484	CDS	1173	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
PMUR_00485	CDS	1059	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
PMUR_00486	CDS	507				hypothetical protein
PMUR_00487	CDS	195				hypothetical protein
PMUR_00488	CDS	1290	ampG		COG0477	Protein AmpG
PMUR_00489	CDS	3762				hypothetical protein
PMUR_00490	CDS	945		1.13.12.16	COG2070	Nitronate monooxygenase
PMUR_00491	CDS	318	rhaM	5.1.3.32		L-rhamnose mutarotase
PMUR_00492	CDS	924				hypothetical protein
PMUR_00493	CDS	642				hypothetical protein
PMUR_00494	CDS	555	rpsP			30S ribosomal protein S16
PMUR_00495	CDS	420				hypothetical protein
PMUR_00496	CDS	465		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
PMUR_00497	CDS	1392	yeeO		COG0534	putative FMN/FAD exporter YeeO
PMUR_00498	CDS	690				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
PMUR_00499	tRNA	84				tRNA-Tyr(gta)
PMUR_00500	CDS	4509				hypothetical protein
PMUR_00501	CDS	888	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
PMUR_00502	CDS	630				hypothetical protein
PMUR_00503	CDS	1515				hypothetical protein
PMUR_00504	CDS	396				hypothetical protein
PMUR_00505	CDS	1074				hypothetical protein
PMUR_00506	CDS	1458	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
PMUR_00507	CDS	747	rfaH_1			Transcription antitermination protein RfaH
PMUR_00508	CDS	228				hypothetical protein
PMUR_00509	CDS	3252				hypothetical protein
PMUR_00510	CDS	2919				hypothetical protein
PMUR_00511	CDS	2316				hypothetical protein
PMUR_00512	CDS	954				hypothetical protein
PMUR_00513	CDS	1830				hypothetical protein
PMUR_00514	CDS	2490				hypothetical protein
PMUR_00515	CDS	813				hypothetical protein
PMUR_00516	CDS	996				hypothetical protein
PMUR_00517	CDS	2589				hypothetical protein
PMUR_00518	CDS	444				hypothetical protein
PMUR_00519	CDS	1611				hypothetical protein
PMUR_00520	CDS	894				hypothetical protein
PMUR_00521	CDS	879				hypothetical protein
PMUR_00522	CDS	1185				hypothetical protein
PMUR_00523	CDS	1473				hypothetical protein
PMUR_00524	CDS	960				hypothetical protein
PMUR_00525	CDS	534				hypothetical protein
PMUR_00526	CDS	1245				hypothetical protein
PMUR_00527	CDS	366				hypothetical protein
PMUR_00528	CDS	198				hypothetical protein
PMUR_00529	CDS	330				hypothetical protein
PMUR_00530	CDS	771				hypothetical protein
PMUR_00531	CDS	927				hypothetical protein
PMUR_00532	CDS	1860				hypothetical protein
PMUR_00533	CDS	1098				hypothetical protein
PMUR_00534	CDS	879				hypothetical protein
PMUR_00535	CDS	174				hypothetical protein
PMUR_00536	CDS	1470				hypothetical protein
PMUR_00537	CDS	480				hypothetical protein
PMUR_00538	CDS	345				hypothetical protein
PMUR_00539	CDS	873	bamD			Outer membrane protein assembly factor BamD
PMUR_00540	CDS	2040	uvrB_2			UvrABC system protein B
PMUR_00541	CDS	615				hypothetical protein
PMUR_00542	CDS	258				hypothetical protein
PMUR_00543	CDS	2361				hypothetical protein
PMUR_00544	CDS	663				hypothetical protein
PMUR_00545	CDS	810	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PMUR_00546	CDS	1662		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
PMUR_00547	CDS	1662	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
PMUR_00548	CDS	1188	lolE_2		COG4591	Lipoprotein-releasing system transmembrane protein LolE
PMUR_00549	CDS	1206	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
PMUR_00550	CDS	480				hypothetical protein
PMUR_00551	CDS	687			COG0325	Pyridoxal phosphate homeostasis protein
PMUR_00552	CDS	1839				hypothetical protein
PMUR_00553	CDS	825	ndhI_2	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
PMUR_00554	tRNA	72				tRNA-Cys(gca)
PMUR_00555	CDS	2721	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
PMUR_00556	CDS	492	dinG	3.6.4.12	COG0847	putative ATP-dependent helicase DinG 
PMUR_00557	CDS	1422	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
PMUR_00558	CDS	1176				hypothetical protein
PMUR_00559	CDS	981				hypothetical protein
PMUR_00560	CDS	1512	dtpT		COG3104	Di-/tripeptide transporter
PMUR_00561	CDS	756				hypothetical protein
PMUR_00562	CDS	1362				hypothetical protein
PMUR_00563	CDS	666				hypothetical protein
PMUR_00564	CDS	2835	uvrA_1			UvrABC system protein A
PMUR_00565	CDS	2523	feoB		COG0370	Fe(2+) transporter FeoB
PMUR_00566	CDS	3399	secA			Protein translocase subunit SecA
PMUR_00567	CDS	1575	pafA	3.1.3.1		Alkaline phosphatase PafA
PMUR_00568	CDS	1311				hypothetical protein
PMUR_00569	CDS	756	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
PMUR_00570	CDS	1287				hypothetical protein
PMUR_00571	CDS	795				hypothetical protein
PMUR_00572	CDS	1260				hypothetical protein
PMUR_00573	CDS	2142				hypothetical protein
PMUR_00574	CDS	222				hypothetical protein
PMUR_00575	CDS	4296				hypothetical protein
PMUR_00576	CDS	2892				hypothetical protein
PMUR_00577	CDS	2988				hypothetical protein
PMUR_00578	CDS	1632	groL		COG0459	60 kDa chaperonin
PMUR_00579	CDS	273	groS		COG0234	10 kDa chaperonin
PMUR_00580	CDS	1335				hypothetical protein
PMUR_00581	CDS	189				hypothetical protein
PMUR_00582	CDS	1770	sppA	3.4.21.-	COG0616	Protease 4
PMUR_00583	CDS	1173	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
PMUR_00584	CDS	585	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
PMUR_00585	CDS	1065	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
PMUR_00586	tRNA	74				tRNA-Phe(gaa)
PMUR_00587	CDS	705				hypothetical protein
PMUR_00588	CDS	252				hypothetical protein
PMUR_00589	CDS	1353				hypothetical protein
PMUR_00590	CDS	1575				hypothetical protein
PMUR_00591	CDS	372				hypothetical protein
PMUR_00592	CDS	261				hypothetical protein
PMUR_00593	CDS	1323				hypothetical protein
PMUR_00594	CDS	2304				hypothetical protein
PMUR_00595	CDS	2157	btuD_2	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
PMUR_00596	CDS	489				hypothetical protein
PMUR_00597	CDS	1866	btuB_1		COG4206	Vitamin B12 transporter BtuB
PMUR_00598	CDS	1041	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
PMUR_00599	CDS	1287	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
PMUR_00600	CDS	852	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
PMUR_00601	CDS	1206	mltF			Membrane-bound lytic murein transglycosylase F
PMUR_00602	CDS	234				hypothetical protein
PMUR_00603	CDS	258				hypothetical protein
PMUR_00604	CDS	120				hypothetical protein
PMUR_00605	CDS	1071	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
PMUR_00606	CDS	900				hypothetical protein
PMUR_00607	CDS	984	afr	1.1.1.292		1,5-anhydro-D-fructose reductase
PMUR_00608	CDS	1086				hypothetical protein
PMUR_00609	CDS	942				hypothetical protein
PMUR_00610	CDS	381				hypothetical protein
PMUR_00611	CDS	1659				hypothetical protein
PMUR_00612	CDS	2217	dpp5	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
PMUR_00613	CDS	1878	yidC			Membrane protein insertase YidC
PMUR_00614	CDS	1605	pyrG_2	6.3.4.2		CTP synthase
PMUR_00615	CDS	1296				hypothetical protein
PMUR_00616	CDS	405				hypothetical protein
PMUR_00617	CDS	1122				hypothetical protein
PMUR_00618	CDS	1734	aspS	6.1.1.12		Aspartate--tRNA ligase
PMUR_00619	CDS	297				hypothetical protein
PMUR_00620	CDS	348				hypothetical protein
PMUR_00621	CDS	381				hypothetical protein
PMUR_00622	tRNA	74				tRNA-Lys(ctt)
PMUR_00623	tRNA	74				tRNA-Lys(ctt)
PMUR_00624	CDS	1389	xylE_1			D-xylose-proton symporter
PMUR_00625	CDS	3306				hypothetical protein
PMUR_00626	CDS	2343				hypothetical protein
PMUR_00627	CDS	2127				hypothetical protein
PMUR_00628	CDS	885	araC_1			Arabinose operon regulatory protein
PMUR_00629	CDS	2889	lacZ_2	3.2.1.23		Beta-galactosidase
PMUR_00630	CDS	924				hypothetical protein
PMUR_00631	CDS	189				hypothetical protein
PMUR_00632	CDS	1596	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
PMUR_00633	CDS	699	mprA		COG0745	Response regulator MprA
PMUR_00634	CDS	180				hypothetical protein
PMUR_00635	CDS	345	rpsF			30S ribosomal protein S6
PMUR_00636	CDS	267	rpsR			30S ribosomal protein S18
PMUR_00637	CDS	525	rplI		COG0359	50S ribosomal protein L9
PMUR_00638	CDS	591				hypothetical protein
PMUR_00639	CDS	99				hypothetical protein
PMUR_00640	CDS	1461	pepC	3.4.22.40	COG3579	Aminopeptidase C
PMUR_00641	CDS	1203				hypothetical protein
PMUR_00642	CDS	1398	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
PMUR_00643	CDS	879				hypothetical protein
PMUR_00644	CDS	267				hypothetical protein
PMUR_00645	CDS	351				hypothetical protein
PMUR_00646	CDS	213				hypothetical protein
PMUR_00647	CDS	471				hypothetical protein
PMUR_00648	CDS	420		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
PMUR_00649	CDS	564	def	3.5.1.88	COG0242	Peptide deformylase
PMUR_00650	CDS	1983				hypothetical protein
PMUR_00651	CDS	1965	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
PMUR_00652	CDS	693	infC		COG0290	Translation initiation factor IF-3
PMUR_00653	CDS	198	rpmI		COG0291	50S ribosomal protein L35
PMUR_00654	CDS	345	rplT		COG0292	50S ribosomal protein L20
PMUR_00655	CDS	180				hypothetical protein
PMUR_00656	CDS	1350	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
PMUR_00657	CDS	1023				hypothetical protein
PMUR_00658	CDS	1233				hypothetical protein
PMUR_00659	CDS	807				hypothetical protein
PMUR_00660	CDS	918				hypothetical protein
PMUR_00661	CDS	2217	dap4	3.4.14.5		Dipeptidyl aminopeptidase 4
PMUR_00662	CDS	2268				hypothetical protein
PMUR_00663	CDS	699				hypothetical protein
PMUR_00664	CDS	1047				hypothetical protein
PMUR_00665	CDS	1098	pemA_1	3.1.1.11	COG4677	Pectinesterase A
PMUR_00666	CDS	1527				hypothetical protein
PMUR_00667	CDS	951	trxB	1.8.1.9	COG0492	Thioredoxin reductase
PMUR_00668	CDS	549	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
PMUR_00669	CDS	255	rpmE2		COG0254	50S ribosomal protein L31 type B
PMUR_00670	CDS	3129				hypothetical protein
PMUR_00671	CDS	2034				hypothetical protein
PMUR_00672	CDS	1284				hypothetical protein
PMUR_00673	CDS	195				hypothetical protein
PMUR_00674	CDS	948				hypothetical protein
PMUR_00675	CDS	297				hypothetical protein
PMUR_00676	CDS	387				hypothetical protein
PMUR_00677	CDS	1893				hypothetical protein
PMUR_00678	CDS	1908				hypothetical protein
PMUR_00679	CDS	903				hypothetical protein
PMUR_00680	CDS	2553				hypothetical protein
PMUR_00681	CDS	222				hypothetical protein
PMUR_00682	CDS	1056				hypothetical protein
PMUR_00683	CDS	603				hypothetical protein
PMUR_00684	CDS	621	udk_2	2.7.1.48		Uridine kinase
PMUR_00685	CDS	297				hypothetical protein
PMUR_00686	CDS	2238	lpxD_1	2.3.1.-		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
PMUR_00687	CDS	2766	tolB_2			Protein TolB
PMUR_00688	CDS	111				hypothetical protein
PMUR_00689	CDS	321				hypothetical protein
PMUR_00690	CDS	903				hypothetical protein
PMUR_00691	CDS	2382				hypothetical protein
PMUR_00692	CDS	441				hypothetical protein
PMUR_00693	CDS	2007	fbp	3.1.3.11	COG3855	Fructose-1,6-bisphosphatase class 3
PMUR_00694	CDS	1110				hypothetical protein
PMUR_00695	CDS	1158				hypothetical protein
PMUR_00696	CDS	1176	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
PMUR_00697	CDS	1314	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
PMUR_00698	CDS	717	ftsE		COG2884	Cell division ATP-binding protein FtsE
PMUR_00699	CDS	633	hisI	3.6.1.31		Histidine biosynthesis bifunctional protein HisIE
PMUR_00700	CDS	759	hisF	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
PMUR_00701	CDS	726	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
PMUR_00702	CDS	591	hisH	2.4.2.-	COG0118	Imidazole glycerol phosphate synthase subunit HisH
PMUR_00703	CDS	864	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
PMUR_00704	CDS	531				hypothetical protein
PMUR_00705	CDS	1122				hypothetical protein
PMUR_00706	CDS	621	rmlC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
PMUR_00707	CDS	1347	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
PMUR_00708	CDS	804				hypothetical protein
PMUR_00709	CDS	789	nudC_1	3.6.1.22		NADH pyrophosphatase
PMUR_00710	CDS	1806	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
PMUR_00711	CDS	681	dnaJ_1		COG0484	Chaperone protein DnaJ
PMUR_00712	CDS	1410	nhaD_1		COG1055	Na(+)/H(+) antiporter NhaD
PMUR_00713	CDS	978	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 1
PMUR_00714	CDS	1527	atpD	3.6.3.14	COG0055	ATP synthase subunit beta
PMUR_00715	CDS	246	atpC			ATP synthase epsilon chain
PMUR_00716	CDS	411				hypothetical protein
PMUR_00717	CDS	1062	atpB			ATP synthase subunit a
PMUR_00718	CDS	243	atpH_1			ATP synthase subunit c
PMUR_00719	CDS	522	atpF		COG0711	ATP synthase subunit b
PMUR_00720	CDS	537	atpH_2		COG0712	ATP synthase subunit delta
PMUR_00721	CDS	1587	atpA	3.6.3.14	COG0056	ATP synthase subunit alpha
PMUR_00722	CDS	966	atpG		COG0224	ATP synthase gamma chain
PMUR_00723	CDS	597				hypothetical protein
PMUR_00724	CDS	2301	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
PMUR_00725	CDS	1518				hypothetical protein
PMUR_00726	CDS	2211	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
PMUR_00727	CDS	2199	hppA1	3.6.1.1	COG3808	Putative K(+)-stimulated pyrophosphate-energized sodium pump
PMUR_00728	CDS	879				hypothetical protein
PMUR_00729	CDS	1323	rarA		COG2256	Replication-associated recombination protein A
PMUR_00730	CDS	954		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
PMUR_00731	CDS	645				hypothetical protein
PMUR_00732	CDS	474	cdd	3.5.4.5		Cytidine deaminase
PMUR_00733	CDS	912				hypothetical protein
PMUR_00734	CDS	1719	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
PMUR_00735	CDS	2544	mrcA_1		COG5009	Penicillin-binding protein 1A
PMUR_00736	CDS	921	miaA_1	2.5.1.75	COG0324	tRNA dimethylallyltransferase
PMUR_00737	CDS	771	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
PMUR_00738	CDS	1386				hypothetical protein
PMUR_00739	CDS	1035	lpxD_2	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
PMUR_00740	CDS	828	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
PMUR_00741	CDS	1110	prfA		COG0216	Peptide chain release factor 1
PMUR_00742	CDS	1170	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
PMUR_00743	CDS	750	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
PMUR_00744	CDS	741	menG	2.1.1.163		Demethylmenaquinone methyltransferase
PMUR_00745	CDS	951	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
PMUR_00746	CDS	1008			COG1702	PhoH-like protein
PMUR_00747	CDS	525				hypothetical protein
PMUR_00748	CDS	780				hypothetical protein
PMUR_00749	CDS	519	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
PMUR_00750	CDS	582	maf		COG0424	Septum formation protein Maf
PMUR_00751	CDS	1896	resA_4			Thiol-disulfide oxidoreductase ResA
PMUR_00752	CDS	2097	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
PMUR_00753	CDS	1110				hypothetical protein
PMUR_00754	CDS	1281	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
PMUR_00755	CDS	1494	uxaA	4.2.1.7	COG2721	Altronate dehydratase
PMUR_00756	CDS	1068	degA		COG1609	HTH-type transcriptional regulator DegA
PMUR_00757	CDS	225				hypothetical protein
PMUR_00758	CDS	1026	iolC	2.7.1.92		5-dehydro-2-deoxygluconokinase
PMUR_00759	CDS	669	kdgA		COG0800	KHG/KDPG aldolase
PMUR_00760	CDS	3552	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
PMUR_00761	CDS	726				hypothetical protein
PMUR_00762	CDS	636				hypothetical protein
PMUR_00763	CDS	606				hypothetical protein
PMUR_00764	CDS	1158	gcdB	4.1.1.70	COG1883	Glutaconyl-CoA decarboxylase subunit beta
PMUR_00765	CDS	456				hypothetical protein
PMUR_00766	CDS	978				hypothetical protein
PMUR_00767	CDS	1686	aspT			Aspartate/alanine antiporter
PMUR_00768	CDS	1854	mutA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase small subunit
PMUR_00769	CDS	2148	mutB	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
PMUR_00770	CDS	1440				hypothetical protein
PMUR_00771	CDS	1389	radA	3.6.4.-	COG1066	DNA repair protein RadA
PMUR_00772	CDS	981				hypothetical protein
PMUR_00773	CDS	2286				hypothetical protein
PMUR_00774	CDS	1260				hypothetical protein
PMUR_00775	CDS	735	prsW	3.4.-.-	COG2339	Protease PrsW
PMUR_00776	CDS	1455				hypothetical protein
PMUR_00777	CDS	1119				hypothetical protein
PMUR_00778	CDS	1503				hypothetical protein
PMUR_00779	CDS	567				hypothetical protein
PMUR_00780	CDS	318				hypothetical protein
PMUR_00781	CDS	663	sapB		COG1285	Protein SapB
PMUR_00782	CDS	633	pgmB	5.4.2.6	COG0637	Beta-phosphoglucomutase
PMUR_00783	CDS	822	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
PMUR_00784	CDS	1176				hypothetical protein
PMUR_00785	CDS	849				hypothetical protein
PMUR_00786	CDS	351	ndhC	1.6.5.-		NAD(P)H-quinone oxidoreductase subunit 3
PMUR_00787	CDS	657	nqo6	1.6.5.11	COG0377	NADH-quinone oxidoreductase subunit 6
PMUR_00788	CDS	1572	nuoC	1.6.5.11		NADH-quinone oxidoreductase subunit C/D
PMUR_00789	CDS	1086	nuoH	1.6.5.11	COG1005	NADH-quinone oxidoreductase subunit H
PMUR_00790	CDS	531	ndhI_3	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
PMUR_00791	CDS	510				hypothetical protein
PMUR_00792	CDS	312	nuoK	1.6.5.11	COG0713	NADH-quinone oxidoreductase subunit K
PMUR_00793	CDS	1965	nuoL	1.6.5.11	COG1009	NADH-quinone oxidoreductase subunit L
PMUR_00794	CDS	1485	ndhD1	1.6.5.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
PMUR_00795	CDS	1428	nuoN	1.6.5.11	COG1007	NADH-quinone oxidoreductase subunit N
PMUR_00796	CDS	1488				hypothetical protein
PMUR_00797	CDS	1440		3.2.1.1		Alpha-amylase
PMUR_00798	CDS	1806	uidA	3.2.1.31	COG3250	Beta-glucuronidase
PMUR_00799	CDS	984				hypothetical protein
PMUR_00800	CDS	4482				hypothetical protein
PMUR_00801	CDS	105				hypothetical protein
PMUR_00802	CDS	1350	nqrA	1.6.5.8	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
PMUR_00803	CDS	1158	nqrB	1.6.5.8	COG1805	Na(+)-translocating NADH-quinone reductase subunit B
PMUR_00804	CDS	726	nqrC	1.6.5.8	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
PMUR_00805	CDS	627	nqrD	1.6.5.8	COG1347	Na(+)-translocating NADH-quinone reductase subunit D
PMUR_00806	CDS	627	nqrE	1.6.5.8	COG2209	Na(+)-translocating NADH-quinone reductase subunit E
PMUR_00807	CDS	1272	nqrF	1.6.5.8	COG2871	Na(+)-translocating NADH-quinone reductase subunit F
PMUR_00808	CDS	774	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
PMUR_00809	CDS	2274	bamA_2			Outer membrane protein assembly factor BamA
PMUR_00810	CDS	549				hypothetical protein
PMUR_00811	CDS	618	gph_1	3.1.3.18		Phosphoglycolate phosphatase
PMUR_00812	CDS	588	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
PMUR_00813	CDS	639				hypothetical protein
PMUR_00814	CDS	405				hypothetical protein
PMUR_00815	CDS	117				hypothetical protein
PMUR_00816	CDS	3558	por	1.2.7.1	COG0674	Pyruvate synthase
PMUR_00817	CDS	1188				hypothetical protein
PMUR_00818	CDS	1092				hypothetical protein
PMUR_00819	CDS	1650				hypothetical protein
PMUR_00820	CDS	2676				hypothetical protein
PMUR_00821	CDS	1239				hypothetical protein
PMUR_00822	CDS	366				hypothetical protein
PMUR_00823	CDS	1782	lepA_2	3.6.5.-	COG0481	Elongation factor 4
PMUR_00824	CDS	597				hypothetical protein
PMUR_00825	CDS	1338	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
PMUR_00826	CDS	1584				hypothetical protein
PMUR_00827	CDS	2067	rho	3.6.4.-		Transcription termination factor Rho
PMUR_00828	CDS	609	engB		COG0218	putative GTP-binding protein EngB
PMUR_00829	CDS	1809	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
PMUR_00830	CDS	612	recR		COG0353	Recombination protein RecR
PMUR_00831	CDS	393				hypothetical protein
PMUR_00832	CDS	1188				hypothetical protein
PMUR_00833	CDS	522	speG	2.3.1.57		Spermidine N(1)-acetyltransferase
PMUR_00834	tRNA	75				tRNA-Asp(gtc)
PMUR_00835	tRNA	75				tRNA-Asp(gtc)
PMUR_00836	CDS	723	ybhL		COG0670	Inner membrane protein YbhL
PMUR_00837	CDS	639				hypothetical protein
PMUR_00838	CDS	120				hypothetical protein
PMUR_00839	CDS	810				hypothetical protein
PMUR_00840	CDS	738	lutA		COG0247	Lactate utilization protein A
PMUR_00841	CDS	1368	lutB		COG1139	Lactate utilization protein B
PMUR_00842	CDS	582				hypothetical protein
PMUR_00843	CDS	1140				hypothetical protein
PMUR_00844	CDS	753				hypothetical protein
PMUR_00845	CDS	1593				hypothetical protein
PMUR_00846	CDS	1161	fdtB	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
PMUR_00847	CDS	924				hypothetical protein
PMUR_00848	CDS	417	fdtA	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
PMUR_00849	CDS	1161	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
PMUR_00850	CDS	552				hypothetical protein
PMUR_00851	CDS	300				hypothetical protein
PMUR_00852	CDS	1113	rfbB_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
PMUR_00853	CDS	507				hypothetical protein
PMUR_00854	CDS	1302	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
PMUR_00855	CDS	201	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
PMUR_00856	CDS	1023	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
PMUR_00857	CDS	729				hypothetical protein
PMUR_00858	CDS	519	ftnA	1.16.3.2		Bacterial non-heme ferritin
